,value,description
61,3700,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
62,17800,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
63,3400,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
64,14100,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
65,1400,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
66,20800,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
67,3600,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
68,15800,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
69,3300,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
70,13500,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
71,1400,"Undefined Confidence for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
72,23200,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
73,3500,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
74,16300,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
75,3300,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
76,16500,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
77,1400,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
78,23200,"Undefined Confidence for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
